date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-02-12,POWERGRID.NS,0.446,-0.2051,11,10,-0.1731,0.7711,-0.5825,0.1931,False,0.12045,0.2064,-0.0227968078550316,0.0271276242880615,feb-A,-0.0101126446574539,0.2056447916666666
2026-02-12,M&M.NS,-0.7831,0.018,10,7,-0.9017,0.189,-0.7143,0.587,False,-0.38255,0.1227,-0.0166152329993372,0.0059070822105962,feb-A,-0.0039310698017594,-0.2973552083333333
2026-02-12,TATASTEEL.NS,0.6244,-0.0709,11,7,-0.0151,0.8309,-0.655,0.5409,False,0.27675,0.2054,-0.0236893921116577,0.0523361777592978,feb-A,-0.01100522891408,0.3619447916666666
2026-02-12,JSWSTEEL.NS,-0.2243,-0.2219,9,7,-0.7466,0.4276,-0.7493,0.4088,False,-0.2231,,-0.012741424876186,0.0065332918752452,feb-A,-5.726167860830613e-05,-0.1379052083333333
2026-02-12,ADANIENT.NS,0.5528,-0.082,14,10,0.1432,0.8015,-0.5235,0.3399,False,0.2353999999999999,0.0058,-0.0339993974921716,-0.0110883234938877,feb-A,-0.0213152342945939,0.3205947916666666
2026-02-12,ADANIPORTS.NS,0.4068,-0.1154,11,7,-0.162,0.7691,-0.7024,0.4693,False,0.1457,0.0902,-0.0160005012341063,-0.0168768363416775,feb-A,-0.0033163380365286,0.2308947916666666
2026-02-12,COALINDIA.NS,-0.797,-0.0629,13,10,-0.9198,-0.4527,-0.5435,0.3798,False,-0.42995,,-0.0243349032485611,-0.0294083594337857,feb-A,-0.0116507400509834,-0.3447552083333333
2026-02-12,BAJAJFINSV.NS,-0.012,0.0774,10,7,-0.708,0.6094,-0.6566,0.7473,False,0.0327,0.049,-0.0068234375242502,0.018499075272055,feb-A,0.0058607256733274,0.1178947916666666
2026-02-12,GRASIM.NS,0.5831,-0.2866,11,7,-0.1331,0.7843,-0.7964,0.2657,False,0.1482499999999999,0.332,-0.012818321654418,0.0215091657378938,feb-A,-0.0001341584568403,0.2334447916666666
2026-02-12,HINDALCO.NS,-0.1515,-0.1267,12,8,-0.8208,0.6853,-0.6128,0.2395,False,-0.1391,0.1688,-0.0574450674114423,0.0309476848888254,feb-A,-0.0447609042138646,-0.0539052083333333
2026-02-12,DRREDDY.NS,-0.0957,-0.4103,8,5,-0.6689,0.5435,-1.0,0.4103,False,-0.253,0.0223,-0.0053337898642289,0.0240983206776945,feb-A,0.0073503733333487,-0.1678052083333333
2026-02-12,CIPLA.NS,-0.0957,-0.4103,8,5,-0.8567,0.4729,-1.0,0.4103,False,-0.253,0.1157,0.001127838878572,-0.0024751226286813,feb-A,0.0138120020761497,-0.1678052083333333
